Place,Status,Region,Lat,Lon,Elev,Pop,Bed,Bath,Price,isFurnished
Industrial Area,1,1,5.64,-0.12,232,366550,7,8,3807,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,7,8,3807,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,4,979,0
Legon,1,1,5.65,-0.18,249,445789,4,4,979,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,7,7,3535,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,7,7,3535,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,7,7,3535,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,7,7,3535,0
Industrial Area,1,1,5.64,-0.12,232,366550,7,7,3535,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,7,7,3535,0
Legion,1,1,5.65,-0.18,249,445789,4,4,652,0
Legon,1,1,5.65,-0.18,249,445789,4,4,652,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,5,6,2719,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,5,6,2719,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,5,6,2719,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,5,6,2719,0
Industrial Area,1,1,5.64,-0.12,232,366550,5,6,2719,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,5,6,2719,0
Cantonments,1,1,5.58,-0.18,259,678313,5,5,2991,0
Legon,1,1,5.65,-0.18,249,445789,4,4,761,0
North Ridge,1,1,5.57,-0.19,282,575806,4,4,761,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,3737,0
Cantonments,1,1,5.58,-0.18,259,678313,3,3,1035,0
Legon,1,1,5.65,-0.18,249,445789,4,5,500,0
Legon,1,1,5.65,-0.18,249,445789,5,5,400,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,4,16317,1
Ajiringano,1,1,5.63,-0.13,232,437914,4,4,16317,1
Legion,1,1,5.65,-0.18,249,445789,2,2,10878,1
Legon,1,1,5.65,-0.18,249,445789,2,2,10878,1
Trade Center,1,1,5.57,-0.15,246,490578,4,5,870,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,5,5,2175,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,5,5,2175,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,5,5,2175,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,5,5,2175,0
Industrial Area,1,1,5.64,-0.12,232,366550,5,5,2175,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,5,5,2175,0
Legion,1,1,5.65,-0.18,249,445789,7,7,2719,0
Legon,1,1,5.65,-0.18,249,445789,7,7,2719,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1631,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1631,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legion,1,1,5.65,-0.18,249,445789,3,3,1631,0
Legon,1,1,5.65,-0.18,249,445789,3,3,1631,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legion,1,1,5.65,-0.18,249,445789,4,4,15229,1
Legon,1,1,5.65,-0.18,249,445789,4,4,15229,1
Spintex Road,1,1,5.64,-0.10,219,306890,4,4,2175,0
Legion,1,1,5.65,-0.18,249,445789,5,5,2719,0
Legon,1,1,5.65,-0.18,249,445789,5,5,2719,0
Legion,1,1,5.65,-0.18,249,445789,3,3,815,0
Legon,1,1,5.65,-0.18,249,445789,3,3,815,0
West Legon Residential,1,1,5.65,-0.21,249,494494,3,3,815,0
Legion,1,1,5.65,-0.18,249,445789,5,5,2447,0
Legon,1,1,5.65,-0.18,249,445789,5,5,2447,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,5,3535,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,5,3535,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,4,5,3535,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,4,5,3535,0
Industrial Area,1,1,5.64,-0.12,232,366550,4,5,3535,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,4,5,3535,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1359,0
Legion,1,1,5.65,-0.18,249,445789,3,3,543,0
Legon,1,1,5.65,-0.18,249,445789,3,3,543,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1522,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1522,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,4,652,0
Legon,1,1,5.65,-0.18,249,445789,5,5,5200,1
Ajiringano,1,1,5.63,-0.13,232,437914,4,4,761,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1522,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1522,0
Adentan,1,1,5.70,-0.17,249,214429,3,3,326,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,4,1359,0
Ajiringano,1,1,5.63,-0.13,232,437914,3,3,380,0
Legion,1,1,5.65,-0.18,249,445789,4,4,10878,1
Legon,1,1,5.65,-0.18,249,445789,4,4,10878,1
Legion,1,1,5.65,-0.18,249,445789,3,3,815,0
Legon,1,1,5.65,-0.18,249,445789,3,3,815,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legion,1,1,5.65,-0.18,249,445789,3,3,543,0
Legon,1,1,5.65,-0.18,249,445789,3,3,543,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1087,0
Legion,1,1,5.65,-0.18,249,445789,3,3,1359,0
Legon,1,1,5.65,-0.18,249,445789,3,3,1359,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,4,979,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,6,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,6,1359,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1903,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,4,5,2719,0
Kwabenyan,1,1,5.69,-0.25,291,313428,4,3,170,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1087,0
Ajiringano,1,1,5.63,-0.13,232,437914,5,4,1890,0
Ajiringano,1,1,5.63,-0.13,232,437914,6,5,648,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,3,1080,0
Ajiringano,1,1,5.63,-0.13,232,437914,3,2,9720,1
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,5,5,2447,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,4,2447,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,4,2447,0
West Legon Residential,1,1,5.65,-0.21,249,494494,4,4,2447,0
Legion,1,1,5.65,-0.18,249,445789,2,2,3263,1
Legon,1,1,5.65,-0.18,249,445789,2,2,3263,1
Legion,1,1,5.65,-0.18,249,445789,8,5,543,0
Legon,1,1,5.65,-0.18,249,445789,8,5,543,0
West Legon Residential,1,1,5.65,-0.21,249,494494,8,5,543,0
Lateman,3,1,5.75,-0.15,242,80913,4,4,924,0
Tesa,1,1,5.63,-0.13,232,437914,4,4,924,0
Tesano,1,1,5.60,-0.23,301,781298,4,4,924,0
Katamanso,3,1,5.75,-0.08,246,74381,5,4,707,0
Spintex Road,1,1,5.64,-0.10,219,306890,5,5,24475,1
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,5,4,652,0
Legon,1,1,5.65,-0.18,249,445789,5,4,652,0
West Legon Residential,1,1,5.65,-0.21,249,494494,5,4,652,0
Legion,1,1,5.65,-0.18,249,445789,6,6,1631,0
Legon,1,1,5.65,-0.18,249,445789,6,6,1631,0
Legion,1,1,5.65,-0.18,249,445789,3,3,1359,0
Legon,1,1,5.65,-0.18,249,445789,3,3,1359,0
Ajiringano,1,1,5.63,-0.13,232,437914,5,5,1359,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1631,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1631,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,3,543,0
Cantonments,1,1,5.58,-0.18,259,678313,3,3,2719,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1522,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1522,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,4,2447,0
Legion,1,1,5.65,-0.18,249,445789,2,2,3263,1
Legon,1,1,5.65,-0.18,249,445789,2,2,3263,1
Legion,1,1,5.65,-0.18,249,445789,8,5,543,0
Legon,1,1,5.65,-0.18,249,445789,8,5,543,0
West Legon Residential,1,1,5.65,-0.21,249,494494,8,5,543,0
Cantonments,1,1,5.58,-0.18,259,678313,14,5,4351,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1359,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,2447,0
East Ridge,1,1,5.56,-0.19,282,575806,4,4,1631,0
North Ridge,1,1,5.57,-0.19,282,575806,4,4,1631,0
West Ridge,1,1,5.56,-0.20,298,623367,4,4,1631,0
Katamanso,3,1,5.75,-0.08,246,74381,5,4,707,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Cantonments,1,1,5.58,-0.18,259,678313,3,4,1903,0
Ajiringano,1,1,5.63,-0.13,232,437914,3,3,543,0
East Ridge,1,1,5.56,-0.19,282,575806,4,4,2175,0
North Ridge,1,1,5.57,-0.19,282,575806,4,4,2175,0
West Ridge,1,1,5.56,-0.20,298,623367,4,4,2175,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legion,1,1,5.65,-0.18,249,445789,5,5,2719,0
Legon,1,1,5.65,-0.18,249,445789,5,5,2719,0
Legon,1,1,5.65,-0.18,249,445789,6,4,1359,0
East Ridge,1,1,5.56,-0.19,282,575806,3,3,1087,0
North Ridge,1,1,5.57,-0.19,282,575806,3,3,1087,0
Roman Bridge,1,1,5.60,-0.20,259,779245,3,3,1087,0
Osu,1,1,5.56,-0.19,278,505871,4,4,1903,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,2719,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,4,380,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,3,380,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,2719,0
Lateman,3,1,5.75,-0.15,242,80913,3,3,815,0
Tesa,1,1,5.63,-0.13,232,437914,3,3,815,0
Tesano,1,1,5.60,-0.23,301,781298,3,3,815,0
Katamanso,3,1,5.75,-0.08,246,74381,8,5,3807,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,3,3,1414,0
Legion,1,1,5.65,-0.18,249,445789,5,5,2447,0
Legon,1,1,5.65,-0.18,249,445789,5,5,2447,0
Lateman,3,1,5.75,-0.15,242,80913,4,4,435,0
Teiman,1,1,5.75,-0.18,259,110264,4,4,435,0
Tema,1,1,5.62,-0.02,0,109449,4,4,435,0
Temma,1,1,5.62,-0.02,0,109449,4,4,435,0
Legion,1,1,5.65,-0.18,249,445789,5,5,2175,0
Legon,1,1,5.65,-0.18,249,445789,5,5,2175,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,5,5,2731,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,5,5,2731,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,5,5,2731,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,5,5,2731,0
Industrial Area,1,1,5.64,-0.12,232,366550,5,5,2731,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,5,5,2731,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legion,1,1,5.65,-0.18,249,445789,4,4,16317,1
Legon,1,1,5.65,-0.18,249,445789,4,4,16317,1
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Lateman,3,1,5.75,-0.15,242,80913,3,4,435,0
Teiman,1,1,5.75,-0.18,259,110264,3,4,435,0
Tema,1,1,5.62,-0.02,0,109449,3,4,435,0
Temma,1,1,5.62,-0.02,0,109449,3,4,435,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1087,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,2330,0
Osu,1,1,5.56,-0.19,278,505871,3,4,12509,1
Legion,1,1,5.65,-0.18,249,445789,4,5,543,0
Legon,1,1,5.65,-0.18,249,445789,4,5,543,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1414,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1414,0
Ogbodzo,1,1,5.67,-0.14,246,314959,2,2,230,0
Ogbojo,1,1,5.67,-0.14,246,314959,2,2,230,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1087,0
Legion,1,1,5.65,-0.18,249,445789,4,4,16317,1
Legon,1,1,5.65,-0.18,249,445789,4,4,16317,1
Legion,1,1,5.65,-0.18,249,445789,4,5,815,0
Legon,1,1,5.65,-0.18,249,445789,4,5,815,0
Cantonments,1,1,5.58,-0.18,259,678313,4,5,2447,0
Legion,1,1,5.65,-0.18,249,445789,4,5,924,0
Legon,1,1,5.65,-0.18,249,445789,4,5,924,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legion,1,1,5.65,-0.18,249,445789,4,5,815,0
Legon,1,1,5.65,-0.18,249,445789,4,5,815,0
Legion,1,1,5.65,-0.18,249,445789,5,5,543,0
Legon,1,1,5.65,-0.18,249,445789,5,5,543,0
West Legon Residential,1,1,5.65,-0.21,249,494494,5,5,543,0
Agbogba,1,1,5.69,-0.20,213,305480,4,4,543,0
Agboogba,1,1,5.69,-0.20,213,305480,4,4,543,0
East Ridge,1,1,5.56,-0.19,282,575806,3,3,21756,1
North Ridge,1,1,5.57,-0.19,282,575806,3,3,21756,1
Roman Bridge,1,1,5.60,-0.20,259,779245,3,3,21756,1
East Ridge,1,1,5.56,-0.19,282,575806,3,2,16317,1
North Ridge,1,1,5.57,-0.19,282,575806,3,2,16317,1
Roman Bridge,1,1,5.60,-0.20,259,779245,3,2,16317,1
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,3,4,2719,0
Legon,1,1,5.65,-0.18,249,445789,3,4,2719,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1458,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1458,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1359,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1359,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,5,1631,0
Legion,1,1,5.65,-0.18,249,445789,3,3,1359,0
Legon,1,1,5.65,-0.18,249,445789,3,3,1359,0
Katamanso,3,1,5.75,-0.08,246,74381,1,1,100,0
Awudome Estate,1,1,5.57,-0.23,334,741791,3,3,200,0
Kanda Estate,1,1,5.58,-0.19,278,698987,3,3,200,0
Teshie Nungua Estates,1,1,5.60,-0.09,219,252445,3,3,200,0
Lateman,3,1,5.75,-0.15,242,80913,4,4,543,0
Teiman,1,1,5.75,-0.18,259,110264,4,4,543,0
Tema,1,1,5.62,-0.02,0,109449,4,4,543,0
Temma,1,1,5.62,-0.02,0,109449,4,4,543,0
Legion,1,1,5.65,-0.18,249,445789,4,4,815,0
Legon,1,1,5.65,-0.18,249,445789,4,4,815,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,5,1740,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,5,1740,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,4,5,1740,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,4,5,1740,0
Industrial Area,1,1,5.64,-0.12,232,366550,4,5,1740,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,4,5,1740,0
Cantonments,1,1,5.58,-0.18,259,678313,4,5,2175,0
Legion,1,1,5.65,-0.18,249,445789,3,4,16317,1
Legon,1,1,5.65,-0.18,249,445789,3,4,16317,1
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,4,1903,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,4,1903,0
West Legon Residential,1,1,5.65,-0.21,249,494494,4,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Cantonments,1,1,5.58,-0.18,259,678313,3,3,1468,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1522,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1522,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,5,5,3737,0
Cantonments,1,1,5.58,-0.18,259,678313,4,6,1631,0
Cantonments,1,1,5.58,-0.18,259,678313,4,6,1903,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,4,3,1359,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1903,0
Achiaman,1,1,5.70,-0.33,236,122026,3,3,450,0
Achimota,1,1,5.62,-0.23,272,689820,3,3,450,0
Achimota Forest,1,1,5.62,-0.22,259,702116,3,3,450,0
Awchioma,3,1,5.77,-0.28,830,63716,3,3,450,0
New Achimota,1,1,5.63,-0.26,265,587895,3,3,450,0
East Ridge,1,1,5.56,-0.19,282,575806,3,4,1359,0
North Ridge,1,1,5.57,-0.19,282,575806,3,4,1359,0
Roman Bridge,1,1,5.60,-0.20,259,779245,3,4,1359,0
Trade Center,1,1,5.57,-0.15,246,490578,4,5,815,0
Cantonments,1,1,5.58,-0.18,259,678313,5,6,27195,1
Cantonments,1,1,5.58,-0.18,259,678313,3,3,1087,0
East Ridge,1,1,5.56,-0.19,282,575806,3,3,924,0
North Ridge,1,1,5.57,-0.19,282,575806,3,3,924,0
Roman Bridge,1,1,5.60,-0.20,259,779245,3,3,924,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,5,1631,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1631,0
Cantonments,1,1,5.58,-0.18,259,678313,3,4,19036,1
Cantonments,1,1,5.58,-0.18,259,678313,5,6,27195,1
North Dzorwulu,1,1,5.62,-0.19,249,690794,3,4,16317,1
East Ridge,1,1,5.56,-0.19,282,575806,3,3,13597,1
North Ridge,1,1,5.57,-0.19,282,575806,3,3,13597,1
Roman Bridge,1,1,5.60,-0.20,259,779245,3,3,13597,1
Cantonments,1,1,5.58,-0.18,259,678313,4,4,2175,0
Cantonments,1,1,5.58,-0.18,259,678313,3,4,27195,1
Cantonments,1,1,5.58,-0.18,259,678313,4,6,2284,0
Legion,1,1,5.65,-0.18,249,445789,5,6,2719,0
Legon,1,1,5.65,-0.18,249,445789,5,6,2719,0
Achiaman,1,1,5.70,-0.33,236,122026,3,4,652,0
Achimota,1,1,5.62,-0.23,272,689820,3,4,652,0
Achimota Forest,1,1,5.62,-0.22,259,702116,3,4,652,0
Awchioma,3,1,5.77,-0.28,830,63716,3,4,652,0
New Achimota,1,1,5.63,-0.26,265,587895,3,4,652,0
Cantonments,1,1,5.58,-0.18,259,678313,4,5,2447,0
East Ridge,1,1,5.56,-0.19,282,575806,3,4,13597,1
North Ridge,1,1,5.57,-0.19,282,575806,3,4,13597,1
Roman Bridge,1,1,5.60,-0.20,259,779245,3,4,13597,1
Legion,1,1,5.65,-0.18,249,445789,5,3,10878,1
Legon,1,1,5.65,-0.18,249,445789,5,3,10878,1
West Legon Residential,1,1,5.65,-0.21,249,494494,5,3,10878,1
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,3,4,1903,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,3,4,1903,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,3,4,1903,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,3,4,1903,0
Industrial Area,1,1,5.64,-0.12,232,366550,3,4,1903,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,3,4,1903,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,462,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,24475,1
Ogbodzo,1,1,5.67,-0.14,246,314959,2,2,543,0
Ogbojo,1,1,5.67,-0.14,246,314959,2,2,543,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,4,4,2175,0
Legon,1,1,5.65,-0.18,249,445789,4,4,300,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,4,3,1359,0
East Ridge,1,1,5.56,-0.19,282,575806,5,4,1359,0
North Ridge,1,1,5.57,-0.19,282,575806,5,4,1359,0
Roman Bridge,1,1,5.60,-0.20,259,779245,5,4,1359,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1631,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,4,4,2175,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,5,5,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,300,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,4,4,2175,0
Oyamfa,1,1,5.74,-0.18,239,124661,3,3,150,0
Oyarifa,1,1,5.74,-0.18,239,124661,3,3,150,0
Oyauifa,1,1,5.74,-0.18,239,124661,3,3,150,0
Santa Maria,1,1,5.60,-0.26,305,670720,3,3,150,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,4,300,0
Legon,1,1,5.65,-0.18,249,445789,4,4,300,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,5,707,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,2175,0
Cantonments,1,1,5.58,-0.18,259,678313,3,3,2447,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,3535,0
Cantonments,1,1,5.58,-0.18,259,678313,4,5,3807,0
Asylum Down,1,1,5.57,-0.21,305,684555,6,4,924,0
Legion,1,1,5.65,-0.18,249,445789,6,6,1903,0
Legon,1,1,5.65,-0.18,249,445789,6,6,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,5,2012,0
Legon,1,1,5.65,-0.18,249,445789,4,5,2012,0
Aiyimensa,3,1,5.78,-0.18,830,44429,3,2,130,0
Oyamfa,1,1,5.74,-0.18,239,124661,4,4,350,0
Oyarifa,1,1,5.74,-0.18,239,124661,4,4,350,0
Oyauifa,1,1,5.74,-0.18,239,124661,4,4,350,0
Santa Maria,1,1,5.60,-0.26,305,670720,4,4,350,0
Ashonman,1,1,5.70,-0.21,187,240340,2,2,120,0
Ashouman,1,1,5.70,-0.21,187,240340,2,2,120,0
Yahoman,3,1,5.71,-0.39,239,72347,2,2,120,0
North Ridge,1,1,5.57,-0.19,282,575806,1,1,850,0
Legon,1,1,5.65,-0.18,249,445789,3,3,353,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,4,326,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,4,652,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,2719,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1359,0
Ashaladza Botchway,1,1,5.68,-0.13,239,198857,11,5,924,0
Ashalebotwe,1,1,5.68,-0.13,239,198857,11,5,924,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1903,0
Oyamfa,1,1,5.74,-0.18,239,124661,4,4,697,0
Oyarifa,1,1,5.74,-0.18,239,124661,4,4,697,0
Oyauifa,1,1,5.74,-0.18,239,124661,4,4,697,0
Santa Maria,1,1,5.60,-0.26,305,670720,4,4,697,0
Oyamfa,1,1,5.74,-0.18,239,124661,4,4,8584,1
Oyarifa,1,1,5.74,-0.18,239,124661,4,4,8584,1
Oyauifa,1,1,5.74,-0.18,239,124661,4,4,8584,1
Santa Maria,1,1,5.60,-0.26,305,670720,4,4,8584,1
Katamanso,3,1,5.75,-0.08,246,74381,5,4,67986,1
Legion,1,1,5.65,-0.18,249,445789,2,3,815,0
Legon,1,1,5.65,-0.18,249,445789,2,3,815,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,6,4,1359,0
Legon,1,1,5.65,-0.18,249,445789,6,4,1359,0
East Ridge,1,1,5.56,-0.19,282,575806,4,5,2610,0
North Kaneshie,1,1,5.59,-0.24,331,810299,4,5,2610,0
North Ridge,1,1,5.57,-0.19,282,575806,4,5,2610,0
West Ridge,1,1,5.56,-0.20,298,623367,4,5,2610,0
East Ridge,1,1,5.56,-0.19,282,575806,3,3,21756,1
North Ridge,1,1,5.57,-0.19,282,575806,3,3,21756,1
Roman Bridge,1,1,5.60,-0.20,259,779245,3,3,21756,1
Cantonments,1,1,5.58,-0.18,259,678313,3,2,14685,1
Cantonments,1,1,5.58,-0.18,259,678313,4,4,2610,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,2550,0
Legon,1,1,5.65,-0.18,249,445789,4,4,543,0
Cantonments,1,1,5.58,-0.18,259,678313,3,3,2447,0
Cantonments,1,1,5.58,-0.18,259,678313,3,3,2175,0
Lateman,3,1,5.75,-0.15,242,80913,4,3,543,0
Tesa,1,1,5.63,-0.13,232,437914,4,3,543,0
Tesano,1,1,5.60,-0.23,301,781298,4,3,543,0
Accra,1,1,5.55,-0.20,298,552347,4,5,3041,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,5,979,0
